red=2304, ir=33996, green=586, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.931237
red=2290, ir=34006, green=559, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.946093
red=2306, ir=34000, green=565, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.961831
red=2286, ir=34025, green=570, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.977572
red=2292, ir=33983, green=567, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.992388
red=2296, ir=33989, green=564, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.008941
red=2297, ir=34009, green=565, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.024451
red=2314, ir=34009, green=571, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.040680
red=2288, ir=33999, green=587, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.056128
red=2312, ir=34004, green=571, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.071891
red=2312, ir=34006, green=575, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.088212
red=2298, ir=34010, green=572, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.103788
red=2292, ir=34009, green=576, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.119660
red=2303, ir=33999, green=575, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.135645
red=2314, ir=33993, green=576, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.150303
red=2287, ir=34001, green=572, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.165673
red=2289, ir=33997, green=582, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.180554
red=2303, ir=33997, green=573, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.195774
red=2295, ir=34005, green=561, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.211585
red=2312, ir=33998, green=575, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.227714
red=2294, ir=33985, green=578, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.243323
red=2313, ir=33993, green=583, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.258405
red=2298, ir=33989, green=570, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.274131
red=2298, ir=33989, green=573, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.290500
red=2295, ir=33985, green=567, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.306572
red=2300, ir=33993, green=564, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.321720
red=2308, ir=34005, green=574, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.337851
red=2306, ir=34010, green=569, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.353687
red=2294, ir=34007, green=572, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.368404
red=2302, ir=33995, green=562, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.383984
red=2288, ir=33998, green=583, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.398760
red=2303, ir=33996, green=573, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.413648
red=2302, ir=33992, green=579, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.430273
red=2294, ir=34001, green=566, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.446348
red=2297, ir=33994, green=574, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.462026
red=2303, ir=33992, green=565, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.478201
red=2296, ir=33994, green=574, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.493760
red=2309, ir=34003, green=569, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0  time:6.509980
