red=121342, ir=128248, green=12262, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.388527
red=121342, ir=128267, green=12248, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.399297
red=121334, ir=128245, green=12240, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.410429
red=121330, ir=128247, green=12226, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.420599
red=121339, ir=128274, green=12205, HR=82, HRvalid=1, SpO2=99, SO2Valid=1  time:4.441740
red=121350, ir=128298, green=12211, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.452523
red=121361, ir=128326, green=1228, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.486520
red=121382, ir=128378, green=12215, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.497577
red=121390, ir=128405, green=12239, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.508528
red=121436, ir=128468, green=12234, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.518776
red=121431, ir=128533, green=12269, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.529185
red=121482, ir=128601, green=12295, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.539203
red=121486, ir=128665, green=12297, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.550691
red=121526, ir=128759, green=12332, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.560716
red=121545, ir=128804, green=12354, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.571316
red=121601, ir=128880, green=12392, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.582564
red=121596, ir=128926, green=12391, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.592927
red=121630, ir=128999, green=12414, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.603932
red=121661, ir=129075, green=12453, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.615038
red=121696, ir=129140, green=12475, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.624970
red=121718, ir=129182, green=12494, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.635198
red=121742, ir=129255, green=12509, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.646350
red=121768, ir=129290, green=12532, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.657757
red=121805, ir=129355, green=12538, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.668306
red=121810, ir=129400, green=12570, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.679258
red=121818, ir=129454, green=12593, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.689511
red=121844, ir=129482, green=12608, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.700663
red=121858, ir=129539, green=12619, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.710738
red=121873, ir=129571, green=12636, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.721310
red=121902, ir=129605, green=12649, HR=78, HRvalid=1, SpO2=99, SO2Valid=1  time:4.742352
red=121915, ir=129652, green=12667, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.753016
red=121929, ir=129695, green=12679, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.763236
red=121930, ir=129718, green=12696, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.773485
red=121950, ir=129772, green=12718, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.783992
red=121973, ir=129822, green=12696, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.795148
red=121974, ir=129841, green=12741, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.805281
red=121979, ir=129882, green=12740, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.816281
red=122008, ir=129926, green=12759, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.826524
red=122017, ir=129984, green=12776, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.837524
red=122037, ir=130005, green=12794, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.847831
red=122056, ir=130081, green=12794, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.858738
red=122075, ir=130121, green=12819, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.869476
red=122063, ir=130113, green=12826, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.880674
red=122029, ir=129988, green=12835, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.891516
red=121922, ir=129783, green=12779, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.901649
red=121827, ir=129509, green=12679, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.912424
red=121697, ir=129167, green=12574, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.922693
red=121544, ir=128824, green=12450, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.933615
red=121395, ir=128477, green=12276, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.943802
red=121264, ir=128180, green=12152, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.953933
red=121146, ir=127936, green=12024, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.964728
red=121059, ir=127748, green=11937, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.975649
red=121003, ir=127596, green=11871, HR=78, HRvalid=1, SpO2=99, SPO2Valid=1  time:4.986579
