ed=2704, ir=40750, green=717, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.769584

ed=2717, ir=40754, green=720, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.780290

ed=2713, ir=40748, green=708, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.790463

ed=2714, ir=40764, green=707, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.801820

ed=2705, ir=40756, green=725, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.812307

ed=2708, ir=40738, green=714, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.824153

ed=2721, ir=40747, green=708, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.834402

ed=2708, ir=40748, green=718, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.845212

ed=2696, ir=40760, green=705, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.855582

ed=2697, ir=40753, green=718, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.866665

ed=2730, ir=40762, green=704, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.877608

ed=2710, ir=40741, green=713, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.888636

ed=2710, ir=40740, green=711, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.899577

ed=2714, ir=40737, green=701, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.910508

ed=2710, ir=40744, green=724, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.921442

ed=2707, ir=40751, green=714, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.932339

ed=2702, ir=40754, green=715, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.943227

ed=2720, ir=40745, green=709, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.953568

ed=2698, ir=40762, green=719, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.963738

ed=2702, ir=40761, green=735, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.975566

ed=2710, ir=40746, green=713, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.986296

ed=2717, ir=40743, green=718, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:3.996958

ed=2698, ir=40751, green=707, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.008036

ed=2719, ir=40755, green=718, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.020904

red=2727, ir=40752, green=708, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.029648

ed=2716, ir=40730, green=716, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.040810

red=2699, ir=40756, green=700, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.052434

red=2715, ir=40748, green=717, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.062647

red=2705, ir=40752, green=712, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.073487

red=2709, ir=40756, green=722, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.085377

red=2709, ir=40734, green=728, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.095400

red=2714, ir=40764, green=711, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.106417

red=2717, ir=40742, green=736, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.116825

red=2729, ir=40732, green=712, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:4.127208

